,N,w
0,8.974984271824791,1.0
1,8.985206349583134,1.0
2,8.990317388462305,1.0
3,9.041427777254018,1.0
4,9.066982971649875,1.0
5,9.072119565723442,1.0
6,9.092538166045731,1.0
7,9.092538166045731,1.0
8,9.097649204924902,1.0
9,9.107871282683245,1.0
10,9.107871282683245,1.0
11,9.108965045003401,1.0
12,9.118093360441588,1.0
13,9.118231358491327,1.0
14,9.12353150580903,1.0
15,9.12831543819993,1.0
16,9.12831543819993,1.0
17,9.133912025772629,1.0
18,9.143648554837444,1.0
19,9.143648554837444,1.0
20,9.148759593716616,1.0
21,9.153870632595787,1.0
22,9.153870632595787,1.0
23,9.16409271035413,1.0
24,9.16462425839757,1.0
25,9.16481847787498,1.0
26,9.165237583063078,1.0
27,9.1692037492333,1.0
28,9.174314788112472,1.0
29,9.174314788112472,1.0
30,9.179425826991643,1.0
31,9.179425826991643,1.0
32,9.179788710752069,1.0
33,9.184536865870815,1.0
34,9.189647904749986,1.0
35,9.189647904749986,1.0
36,9.189734792410933,1.0
37,9.194758943629157,1.0
38,9.199869982508329,1.0
39,9.200161311724445,1.0
40,9.2049810213875,1.0
41,9.2049810213875,1.0
42,9.2049810213875,1.0
43,9.205936785657917,1.0
44,9.210092060266671,1.0
45,9.210092060266671,1.0
46,9.210092060266671,1.0
47,9.210178947927618,1.0
48,9.215203099145842,1.0
49,9.215203099145842,1.0
50,9.215315542001186,1.0
51,9.220314138025014,1.0
52,9.220314138025014,1.0
53,9.225425176904185,1.0
54,9.225425176904185,1.0
55,9.225506953526253,1.0
56,9.230536215783356,1.0
57,9.230536215783356,1.0
58,9.230536215783356,1.0
59,9.230536215783356,1.0
60,9.231594200831358,1.0
61,9.235647254662528,1.0
62,9.235647254662528,1.0
63,9.235647254662528,1.0
64,9.235647254662528,1.0
65,9.235647254662528,1.0
66,9.235713698167958,1.0
67,9.235851696217697,1.0
68,9.240758293541699,1.0
69,9.240758293541699,1.0
70,9.240758293541699,1.0
71,9.240758293541699,1.0
72,9.240758293541699,1.0
73,9.240758293541699,1.0
74,9.241836722745218,1.0
75,9.241918499367285,1.0
76,9.24586933242087,1.0
77,9.24586933242087,1.0
78,9.24586933242087,1.0
